Año,Edad_grupo,Sexo,AROPE
2025,Menores de 16,Hombres,31.5
2024,Menores de 16,Hombres,33.6
2023,Menores de 16,Hombres,34.1
2022,Menores de 16,Hombres,32.4
2021,Menores de 16,Hombres,32.7
2020,Menores de 16,Hombres,31.3
2019,Menores de 16,Hombres,28.2
2018,Menores de 16,Hombres,27.7
2017,Menores de 16,Hombres,30.6
2016,Menores de 16,Hombres,32.3
2015,Menores de 16,Hombres,34.0
2014,Menores de 16,Hombres,35.4
2013,Menores de 16,Hombres,33.4
2012,Menores de 16,Hombres,30.9
2011,Menores de 16,Hombres,30.4
2010,Menores de 16,Hombres,31.7
2009,Menores de 16,Hombres,32.6
2008,Menores de 16,Hombres,28.6
2025,16-29,Hombres,28.9
2024,16-29,Hombres,28.9
2023,16-29,Hombres,32.4
2022,16-29,Hombres,30.0
2021,16-29,Hombres,32.9
2020,16-29,Hombres,31.2
2019,16-29,Hombres,29.7
2018,16-29,Hombres,30.5
2017,16-29,Hombres,33.2
2016,16-29,Hombres,37.1
2015,16-29,Hombres,39.1
2014,16-29,Hombres,36.8
2013,16-29,Hombres,33.9
2012,16-29,Hombres,33.2
2011,16-29,Hombres,28.8
2010,16-29,Hombres,26.4
2009,16-29,Hombres,22.0
2008,16-29,Hombres,21.0
2025,30-44,Hombres,24.6
2024,30-44,Hombres,25.6
2023,30-44,Hombres,24.4
2022,30-44,Hombres,24.4
2021,30-44,Hombres,26.6
2020,30-44,Hombres,23.6
2019,30-44,Hombres,24.2
2018,30-44,Hombres,23.3
2017,30-44,Hombres,24.6
2016,30-44,Hombres,26.7
2015,30-44,Hombres,28.7
2014,30-44,Hombres,30.5
2013,30-44,Hombres,28.6
2012,30-44,Hombres,28.0
2011,30-44,Hombres,25.8
2010,30-44,Hombres,25.6
2009,30-44,Hombres,22.4
2008,30-44,Hombres,20.9
2025,45-64,Hombres,24.1
2024,45-64,Hombres,24.1
2023,45-64,Hombres,25.1
2022,45-64,Hombres,24.1
2021,45-64,Hombres,26.7
2020,45-64,Hombres,25.5
2019,45-64,Hombres,25.3
2018,45-64,Hombres,27.5
2017,45-64,Hombres,27.5
2016,45-64,Hombres,29.9
2015,45-64,Hombres,30.8
